fid,username,score,wallet,eligible,reason
"490811","theunsecretman","0.84","0xaf33d07073707befa504d9f9b3332cec1e4b7787","true","eligible"
"1408211","scofield13","0.05","0x67c940a79524e86a8a04afb688d6c9e18260f36d","false","score_below_min"
"1072532","rakib4675","0.49","0x450352c75fe1f0b4683203e499b9a5935b809949","false","score_below_min"
"331803","kaushik8627","0.31","0xf7942c3f2847958b2f4f1ca561d45a3546e6c957","false","score_below_min"
"296705","ivaan13","0.17","0xcd5dbd31d98a740215b2efc1007d17516591a17a","false","score_below_min"
"1089042","godmarika","0.17","0xb2568c9b6da565a8d4e1054d718cbcdc1bdeae03","false","score_below_min"
"1023924","dodo001","0.3","0xac318306fbc59c4ea6aaaf0ad1133568c7569596","false","score_below_min"
"1479756","rashida1187","0","0x01544046db5c869f17a6c81bede5162eef6d5a98","false","score_below_min"
"3337418","focaster","0.5","0x377adbc18642a85b1b94c8a77a5fbfbbf7a4fc52","false","score_below_min"
"357355","annie-45","0.71","0x557c9723c56cda06e20f9e6a97647fe770c04376","true","eligible"
"3336840","evens-kate","0.28","0x5df6b88e8731f95671c571e11ac124491d21439e","false","score_below_min"
"286043","jisan100","0.54","0xa5d10e242c2931d209eab0a5567f9fddf646c482","false","score_below_min"
"1059075","sugarz.eth","0.96","0x76bc75ef2f1f0f25e078641910d8e23a430204f5","true","eligible"
"352764","george-georgiou","0.58","0x151b583360959a1bf66149539a319bb5e4c291af","true","eligible"
"3323028","glenpowel","0.3","0xf42f439a1df71833fd4aaa911a8114b1343b4ad5","false","score_below_min"
"3334154","!3334154","0.18","0x32005bcd28e3e9837a90cdd09e08b8a02fe3c58a","false","score_below_min"
"316952","pointgmail09","0.8","0xff79569119cd9647c801e20b316ebf569b59c646","true","eligible"
"1529470","bigdannytracy","0.1","0x59b419b06adb83c34da5cff593b26185c4b4f3c0","false","score_below_min"
"1049492","gilbert007","0.32","0xa76a7ba5c190b90eaef0cb16077b758fd6f745c8","false","score_below_min"
"488054","philip9876","0.33","0xbaf0ce711b3947eecbf19f556ff0c0400c03cebc","false","score_below_min"
"1080504","surajit1999","0.28","0x2d1bc87e8d9ae30c655711f5d659485657f9efee","false","score_below_min"
"278989","bivash19","0.17","0xb8732071ee124deee82a2d64a6665b722769d51e","false","score_below_min"
"1450388","lucifercaretaker","0.66","0xa7b75869ad863d744a483020e46fc8ab8769f1cd","true","eligible"
"790695","mahin893","0.42","0xfac2dbaf615cb7eae6f623e2056536d2ec8c8dd4","false","score_below_min"
"3323269","shalisa28","0.26","0x631218b5fe15d3af89141c095f14e412d9f8c031","false","score_below_min"
"2637158","viniclaw","0.78","","false","no_verified_eth"
"3335450","traderlucky","0.28","0xf0c22fd5e1b8043b386157e57ad2d028b2a2f5c9","false","score_below_min"
"3208456","cryptolabfire","0.39","0x013a1290b7871a8dcc7758d71019957a0811aad3","false","score_below_min"
"1404786","wangseng93","0","0xb214772ae2c1f6f878de65bc153d37cd6c2e34b2","false","score_below_min"
"1046561","enyiflexwire1","0.33","0x74d7ac099ae015ef81ed54c7a5621f70013e79fe","false","score_below_min"
"1068178","ashrua","0.35","0x7af54ab1aefc02e8fb33923504060bbc08443fc6","false","score_below_min"
"3334513","hailthelight","0.43","0x4a264ee7b1900b8080f5028380355c35bde0a73f","false","score_below_min"
"937437","qatada","0.4","0xb4996f208d5bc10960e52a413016707d05fc6b4a","false","score_below_min"
"1004065","makachu","0.6","0x8a8d8601e8fbb0363150f32d26c389786a15b937","true","eligible"
"1121924","marufr523","0.44","0xd5c89eafe8430a1cd7dea3a92ec65ab5e2ad8b97","false","score_below_min"
"1109658","mizjboy","0.36","0xa031b5b2faff5c85ce426d0fd4d18e97295f4d62","false","score_below_min"
"1080288","banu2121","0.2","0x186553718fcfd87eecf85571b2f862cf3dc1456f","false","score_below_min"
"582860","mdabid2024","0.21","0x21a1eed1b7b658cb7bb085bca3ff867306f2f05f","false","score_below_min"
"3336042","gembhelelithe","0.19","0x9a6853fbc8e05b084edc365aff9c041894c5b664","false","score_below_min"
"3069227","v4sh-","0.42","0x24aa1979b20328869ffb688802ccfab952238c29","false","score_below_min"
"638551","miozz23","0.36","0x7af7d40805f894e9da3d6a307ac59dffe84d8a60","false","score_below_min"
"2112173","drqeth","0.55","0x4f12fe4b84dfa1dae93123b546537f3fc53e3498","false","score_below_min"
"1096779","joeyvee","0.11","0x0ca84e6963b69d9466a6740fcf06300b47e17fef","false","score_below_min"
"1412202","niyamul","0.3","0xd3a420c2b5619780aa3a001fda908aa8f61763a4","false","score_below_min"
"668831","morishita","0.34","0xbebb15904410d05fbf1fd98bd214c81d391f888e","false","score_below_min"
"1079922","presdency.eth","0.95","0x33ec776a05c832d51894cf3e70b29162717eade4","true","eligible"
"1134698","amiranamino","0.15","0x61a2913ecf67e6d89c4fbb1f99e6256d07d14181","false","score_below_min"
"1148280","onegreatguy","0.47","0xe62708cb962588b355e6e98d6180914585e22d43","false","score_below_min"
"277868","queenlizzy","0.15","0xbf7c9c4ece2c645ca15f8b961d82cc2414f3275b","false","score_below_min"
"762752","jurssh112","0.31","0x61741c01fb72bb7c5875e144a176ab75dc074248","false","score_below_min"
"532386","cryptocrood","0.19","0x34ed375bb775692854b66b65affa56b56cabccd8","false","score_below_min"
"293082","siraj12","0.25","0x6bd5e0511b60baefe7b35029973330dfb7d1913d","false","score_below_min"
"564269","davidme","0.23","0x30fefc07e4caa9270275ed1431c2d4860189aa88","false","score_below_min"
"3335558","blockflea","0.26","0x0c91b18a5f40a8c88500fcfaf513974a48926636","false","score_below_min"
"3335803","axiomorigins","0.6","0xf579d1c0fb54527cd4908acf3dc9177c8c63790b","true","eligible"
"3065736","los325","0.09","0x5b05a4bbf04d56ffe561e3e01683a9a143f8cbac","false","score_below_min"
"1109570","based-eth-ryan","0.6","0x8cb0216b9668728412af9e29f8a42e6407d77897","true","eligible"
"3335667","elizabeth038","0.55","0x52d064f39b3c95af5a2b9ca6676d875ffaa82861","false","score_below_min"
"452067","mahroo23","0.53","0x4c02ad197a9deb64b35c0284ccd61223394f1ef3","false","score_below_min"
"1443757","hope19090","0.51","0x8396df22f8b5f39032d8ad528389345616dd8c4e","false","score_below_min"
"1377758","ustazonchain","0.53","0x17ee5c5c22ca9ec8f3c26a36274dfd5641a530dc","false","score_below_min"
"1074234","thatfineboykp","0.64","0x70a8bcf7740744cb1b4b4e12f5b15bb0416a2f5e","true","eligible"
"1156216","voodoonemesi","0.85","0xbdf76322a02414c173705863c4bd568a0ad181fc","true","eligible"
"1146642","chainsawrara","0.85","0x0ab7ea889c5652eda909fb34b68880d5736eacab","true","eligible"
"2764533","blackreparation","0.13","0x56b797960e2148f261628a38dd39c78e056cc8a8","false","score_below_min"
"1158751","nothininterestin","0.53","0x9246550ed36ac2c01afaa216d2a807bb8b1780bc","false","score_below_min"
"3335517","gwwynne","0.28","0xab691e57920a64fe8d161bc267a4d6c94cc025db","false","score_below_min"
"3069329","indikin.eth","0.26","0x00cae97c9268bb2be48908cea0413ff0acc726e4","false","score_below_min"
"246060","yaroojaan","0.94","0x6f98983f93bc84159cd4f1cc3a44768c6ff257f7","true","eligible"
"395346","lambchop","1","0x4f96e16c10a0bcb004d5b9f5e6198d27dc74c711","true","eligible"
"1591564","cheryllynn","0.21","0x8bbb086094a6633870833fd7c939763e610162bc","false","score_below_min"
"2745","stevedv.eth","0.99","0x34db35639eafe2712ae1f69dfa298b06a5c25053","true","eligible"
"1002208","lordsatoby","0.9","0x669c56ce4f8f51061f3da3501f762a3f5d5f8ca5","true","eligible"
"17673","road","0.98","0x9b3269e698fbc329c18a723e5dddff8c51c5ac98","true","eligible"
"1035587","flanneldonut","0.95","0xc3441834dba2509afae2e1d63bf6caf873ffec71","true","eligible"
"263104","jinmori","0.3","0x753d256f76f0d4ac77e10d48027415aa92485807","false","score_below_min"
"1085585","vilvatikta","0.31","0xaa3e0215c0bff996dd034d5bb0d450902894321e","false","score_below_min"
"1433583","weeonchain","0.35","0x4f3a82a8e3579988fc59efea6e8db7db9225886f","false","score_below_min"
"3334975","heyminii","0.25","0xf40311f9b724213606ff97bcd97633d189070819","false","score_below_min"
"1061940","ehsan68bad","0.43","0xf93024091e567b98b264e80decabcad5e8dcdf87","false","score_below_min"
"1110131","dau","0.91","0x747996871acdf334d8454747291dc1c5c40feed5","true","eligible"
"248903","nobitaganteng","0.58","0x6d1d4d706a5f8b3d10974200ab29fc2462e0eb26","true","eligible"
"3334965","trichomedreams","0.22","0xaa1e8f07a023530d344ef4407ba0a8aa9be1f0c1","false","score_below_min"
"1456429","unizsawp","0.82","0x980559c5549b388a51dd77058e0181bd688ae7e6","true","eligible"
"1477344","cryptodiscovery.eth","0.82","0x76db16ebd0a31a8ca0db3209e0836422db02f48b","true","eligible"
"543139","imrankhanniazi","0.76","0xc8b69603d36cd8a1c4ffd0602975ac8699360b6f","true","eligible"
"392562","mahbub64","0.69","0x7e2e37bee91a068d669828d8a48a19e907a8ea46","true","eligible"
"428043","cna","0.96","0xe0215f79e1d1097e20cc06c776fcc0ef4f164239","true","eligible"
"485528","propoupan","0.52","0xcc0ebdf47f072279c785ea4c1d2b295d1c484610","false","score_below_min"
"18612","pcryptowoman","0.95","0x6c923f0771102cadf7ddcb84b9ad15bb6fd914c9","true","eligible"
"449014","ranatanveer02","0.77","0xf5d38fe24729f1129b209552b28a912d099524ae","true","eligible"
"299998","rexxorgcountry.base.eth","0.94","0x22a8b461e63252fe89a7f5c1c4fbcde87a7beea6","true","eligible"
"315508","rynn12","0.63","0x84b5aefd0e99a619400c02bdb4fb7eaa24d25ef0","true","eligible"
"924978","thisworld.base.eth","0.93","0x662cdbc2ea59de72118d80f6d4d198aad9978d48","true","eligible"
"1067062","findmeows.base.eth","0.8","0x8b0a7656dcb07a5f08be72b698229e150d62db1c","true","eligible"
"1135818","seril","0.75","0x1a7f41a4eccae9ee594ef001e7c61f636200dc81","true","eligible"
"1400606","roshanbro","0.55","0xca5cf2f45e153cfabc0c9a574c3f7e78389af62c","false","score_below_min"
"18634","afaringan","0.85","0x550ed25eeba1a57f59bc117856d63df149a71282","true","eligible"
"1443996","mojus","0.53","0xa931e813e708d8e2ce233abf3fddd7c8dad84373","false","score_below_min"
"257818","poor","0.57","0xd3c0e9ff628ce1fc0c7e598502c3c04502432d74","true","eligible"
"299067","dezoir","0.61","0xe32e9f668ff67c97d26f09790304ccdfb312f718","true","eligible"
"240781","hamzaameen","0.86","0x278d76c7eb269edc0a465b8014639260f63ac175","true","eligible"
"615647","legendsword.eth","0.95","0x8dbc89feeb8ad805407ff8593a94805b20ee1136","true","eligible"
"524572","rider09","0.77","0x102e1a60a174987cccc1c9821072fa8f3f91a345","true","eligible"
"235266","leave","0.79","0xeb27810654fe994078ae1c77df554269e808a74c","true","eligible"
"217605","sheikh","0.78","0xfd27347ee4eda8b2371135185aeb828c85d0c54e","true","eligible"
"1150100","mehdihasan","0.94","0x953edccd7d5d3683b64c9d240b5a7c470675e64d","true","eligible"
"396057","mannaushack","0.88","0x5872286f932e5b015ef74b2f9c8723022d1b5e1b","true","eligible"
"277059","azzam","0.79","0x409adbbef0d920dc05a90083f1388f2d2c0205d1","true","eligible"
"1404987","rakibb250","0.68","0x160283e04f10404178f429abb6d9547501b3f9f8","true","eligible"
